City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,cabo san lucas,75,MX,1526175780,41,22.89,-109.91,82.4,12.75
88,kefalos,0,GR,1526178000,59,36.75,26.96,60.8,9.17
89,torbay,40,CA,1526176800,80,47.66,-52.73,33.8,16.11
90,belmonte,0,PT,1526180485,75,40.36,-7.35,36.79,4.59
91,bethel,75,US,1526178660,70,60.79,-161.76,42.8,29.97
92,upernavik,92,GL,1526180222,100,72.79,-56.15,25.45,11.07
93,dikson,76,RU,1526180095,100,73.51,80.55,18.88,18.68
94,lorengau,68,PG,1526180295,100,-2.02,147.27,83.72,4.7
95,chegdomyn,92,RU,1526180485,95,51.13,133.04,47.86,3.47
96,hami,0,CN,1526180233,32,42.84,93.51,84.13,5.82
97,birjand,0,IR,1526176800,62,32.86,59.22,55.4,6.93
98,manavalakurichi,75,IN,1526178600,79,8.13,77.3,86.0,3.36
99,new norfolk,75,AU,1526177280,76,-42.78,147.06,57.2,11.41
100,saint-joseph,90,FR,1526176800,87,43.56,6.97,59.0,3.36
101,rikitea,24,PF,1526180186,100,-23.12,-134.97,79.49,7.16
102,dawei,44,MM,1526180486,81,14.07,98.19,82.15,1.9
103,port keats,0,AU,1526180486,47,-14.25,129.55,79.63,20.92
104,gizo,75,IL,1526178480,82,31.8,34.94,69.8,9.17
105,le port,92,FR,1526180487,100,42.87,1.37,27.43,1.9
106,haines junction,48,CA,1526180225,31,60.75,-137.51,39.89,2.91
107,vaini,8,IN,1526180186,82,15.34,74.49,78.37,3.36
108,saldanha,0,PT,1526180235,85,41.42,-6.55,36.07,4.47
109,sechura,0,PE,1526180487,84,-5.56,-80.82,69.55,9.73
110,chokurdakh,0,RU,1526180210,100,70.62,147.9,16.49,10.63
111,pryazha,12,RU,1526176800,75,61.69,33.62,44.6,2.91
112,pimentel,80,BR,1526180488,99,-3.7,-45.5,71.44,2.91
113,mar del plata,88,AR,1526179983,100,-46.43,-67.52,41.87,8.16
114,teahupoo,20,PF,1526178600,66,-17.83,-149.27,84.2,12.75
115,talnakh,36,RU,1526180218,91,69.49,88.39,13.48,5.37
116,saint-philippe,1,CA,1526177700,37,45.36,-73.48,55.4,2.24
117,kavieng,44,PG,1526180088,100,-2.57,150.8,85.25,7.49
118,alofi,80,NU,1526176800,61,-19.06,-169.92,78.8,19.46
119,kabanjahe,24,ID,1526180488,89,3.1,98.49,75.31,2.35
120,pevek,44,RU,1526180187,100,69.7,170.27,23.24,3.8
121,leshukonskoye,24,RU,1526180488,83,64.9,45.76,38.54,3.91
122,goderich,48,CA,1526180272,67,43.74,-81.71,46.64,4.36
123,kaitangata,20,NZ,1526180107,87,-46.28,169.85,49.66,4.36
124,baishishan,56,CN,1526180488,55,43.58,127.55,65.0,4.81
125,palmares do sul,0,BR,1526176800,93,-30.26,-50.51,60.8,4.7
126,odienne,12,CI,1526180489,93,9.51,-7.57,66.85,2.8
127,vardo,75,US,1526178900,77,39.62,-77.74,71.6,3.36
128,castro,92,CL,1526180254,98,-42.48,-73.76,53.26,9.4
129,komsomolskiy,92,RU,1526180219,96,67.55,63.78,30.85,16.11
130,guerrero negro,0,MX,1526180194,81,27.97,-114.04,61.0,8.05
131,vestmannaeyjar,0,IS,1526180201,93,63.44,-20.27,41.02,10.4
132,mahibadhoo,76,MV,1526180489,100,3.78,72.97,84.4,10.4
133,emerald,0,AU,1526180490,35,-23.53,148.16,71.08,9.73
134,cape town,0,ZA,1526176800,93,-33.93,18.42,57.2,6.93
135,saint-augustin,0,FR,1526176800,100,44.83,-0.61,41.0,2.24
136,marienburg,0,DE,1526176200,82,52.12,9.98,60.8,6.93
137,hualmay,32,PE,1526180490,99,-11.1,-77.61,62.17,4.03
138,cockburn town,88,TC,1526180239,99,21.46,-71.14,78.46,22.03
139,provideniya,92,RU,1526180133,100,64.42,-173.23,30.49,9.4
140,nelson bay,90,AU,1526178600,72,-32.72,152.14,62.6,19.46
141,koygorodok,64,RU,1526180491,49,60.44,51.01,45.97,4.36
142,half moon bay,20,US,1526176560,52,37.46,-122.43,71.6,8.05
143,brigantine,90,US,1526180100,93,39.41,-74.36,62.6,8.05
144,mahebourg,40,MU,1526176800,73,-20.41,57.7,73.4,3.36
145,touros,92,BR,1526180234,92,-5.2,-35.46,78.73,8.72
146,saint-pierre,90,FR,1526176800,93,48.95,4.24,50.0,16.11
147,christchurch,92,NZ,1526178600,81,-43.53,172.64,51.8,3.36
148,kautokeino,88,NO,1526180491,100,69.01,23.04,41.15,3.47
149,cap malheureux,40,MU,1526176800,73,-19.98,57.61,73.4,3.36
150,sur,0,OM,1526180308,80,22.57,59.53,86.69,14.2
151,lasa,75,CY,1526176800,88,34.92,32.53,62.6,5.82
152,havre,1,US,1526176380,58,48.55,-109.68,55.4,4.7
153,laguna,5,MX,1526175600,39,27.52,-110.01,82.4,3.36
154,beihai,0,CN,1526178600,68,38.95,121.19,66.2,8.95
155,tongliao,20,CN,1526180416,64,43.61,122.27,73.78,4.59
156,sitka,68,US,1526180201,47,37.17,-99.65,76.79,12.64
157,feni,48,BD,1526180492,97,23.02,91.41,80.89,7.49
158,iqaluit,90,CA,1526176800,85,63.75,-68.52,14.0,21.92
159,moron,56,VE,1526180273,91,10.49,-68.2,68.02,2.24
160,karpogory,0,RU,1526180492,73,64.0,44.44,43.9,4.03
161,ahipara,92,NZ,1526180493,93,-35.17,173.16,66.35,14.43
162,nabire,80,ID,1526180235,89,-3.36,135.5,76.25,2.68
163,igrim,20,RU,1526180493,71,63.19,64.42,35.39,5.03
164,linxia,0,CN,1526180493,41,35.6,103.21,67.21,3.58
165,boa vista,75,BR,1526180400,94,2.82,-60.67,77.0,5.82
166,kiunga,44,PG,1526180494,81,-6.12,141.3,83.09,2.8
167,solnechnyy,68,RU,1526180494,39,50.72,136.64,73.87,6.71
168,verkhoyansk,92,RU,1526180494,84,67.55,133.39,27.07,11.18
169,srednekolymsk,8,RU,1526180237,48,67.46,153.71,44.12,6.26
170,faanui,44,PF,1526180240,100,-16.48,-151.75,80.57,12.64
171,husavik,0,CA,1526180271,50,50.56,-96.99,53.98,10.63
172,fortuna,20,ES,1526176800,39,38.18,-1.13,62.6,5.82
173,maragogi,92,BR,1526180215,95,-9.01,-35.22,76.34,4.59
174,aklavik,90,CA,1526176800,86,68.22,-135.01,39.2,5.82
175,carnarvon,0,ZA,1526180207,77,-30.97,22.13,34.99,7.38
176,severo-kurilsk,0,RU,1526180217,90,50.68,156.12,41.2,3.47
177,naze,92,NG,1526180261,96,5.43,7.07,74.68,5.59
178,big spring,1,US,1526177700,35,32.25,-101.48,87.8,17.22
179,beboto,48,TD,1526180494,95,8.27,16.94,70.45,3.36
180,nome,1,US,1526177700,83,30.04,-94.42,77.0,5.82
181,ancud,92,CL,1526180276,98,-41.87,-73.83,53.89,9.4
182,erenhot,36,CN,1526180495,27,43.65,111.97,74.68,17.78
183,honningsvag,0,NO,1526180195,89,70.98,25.97,38.95,3.36
184,morro da fumaca,0,BR,1526180495,100,-28.65,-49.21,61.67,10.51
185,arnprior,20,CA,1526176800,28,45.44,-76.36,55.4,3.36
186,nanortalik,56,GL,1526180137,99,60.14,-45.24,32.24,6.38
187,ustyuzhna,0,RU,1526180495,71,58.84,36.43,54.02,2.68
188,dinar,0,TR,1526178000,93,38.07,30.16,42.8,3.36
189,chuy,0,UY,1526180116,100,-33.69,-53.46,52.09,10.63
190,bull savanna,0,JM,1526180236,77,17.89,-77.59,72.2,5.37
191,tuatapere,0,NZ,1526180309,100,-46.13,167.69,48.76,7.16
192,medicine hat,20,CA,1526176800,27,50.04,-110.68,64.4,0.78
193,ambon,12,FR,1526176800,93,47.55,-2.56,44.6,5.82
194,champerico,75,MX,1526176620,69,16.38,-93.6,78.8,6.93
195,rundu,92,NA,1526180496,43,-17.91,19.77,71.3,2.35
196,beidao,0,CN,1526180257,67,34.57,105.89,66.8,6.93
197,mount gambier,76,AU,1526180008,79,-37.83,140.78,57.17,4.59
198,flin flon,100,CA,1526179987,27,54.77,-101.88,68.24,11.63
199,victoria,75,BN,1526176800,70,5.28,115.24,87.8,4.7
200,emilio carranza,0,MX,1526180497,93,19.97,-96.61,74.68,4.03
201,geraldton,20,CA,1526176800,29,49.72,-86.95,51.8,9.17
202,sorland,92,NO,1526180273,94,67.67,12.69,45.43,4.7
203,cortes,44,PH,1526180497,66,9.28,126.19,88.27,1.68
204,namibe,0,AO,1526180153,100,-15.19,12.15,71.98,12.19
205,nongan,48,CN,1526176800,45,44.43,125.17,68.0,11.18
206,del rio,1,US,1526176500,40,29.36,-100.9,89.6,13.87
207,klaksvik,92,FO,1526178000,81,62.23,-6.59,42.8,3.36
208,moose factory,90,CA,1526176800,64,51.26,-80.61,35.6,8.05
209,sao felix do xingu,44,BR,1526180432,97,-6.64,-51.99,74.09,2.68
210,powell river,5,CA,1526176800,46,49.84,-124.52,75.2,10.29
211,muros,40,ES,1526176800,93,42.77,-9.06,44.6,5.82
212,ilula,56,TZ,1526180498,91,-7.68,36.04,60.46,4.59
213,coahuayana,44,MX,1526180281,71,18.62,-100.35,70.27,1.9
214,nanakuli,90,US,1526178960,69,21.39,-158.15,84.2,8.05
215,kavaratti,64,IN,1526180498,100,10.57,72.64,83.68,5.37
216,padmanabhapuram,75,IN,1526178600,79,8.25,77.33,86.0,3.36
217,chimbote,36,PE,1526180499,94,-9.08,-78.59,65.09,5.82
218,hailar,24,CN,1526180499,46,49.2,119.7,59.56,14.65
219,redlands,90,US,1526176680,55,34.06,-117.19,75.2,1.9
220,calama,0,CL,1526176800,11,-22.46,-68.93,42.8,19.46
221,hasaki,75,JP,1526178600,60,35.73,140.83,73.4,10.29
222,buenaventura,92,CO,1526180499,98,3.89,-77.07,66.62,2.91
223,oktyabrskiy,0,RU,1526178600,87,55.61,37.97,51.8,2.24
224,sorong,0,ID,1526180500,100,-0.86,131.25,84.35,3.69
225,abu kamal,8,SY,1526180500,83,34.45,40.92,54.34,2.8
226,marawi,44,PH,1526180309,73,8.0,124.29,80.75,3.13
227,luena,0,AO,1526180500,78,-11.78,19.91,61.67,2.8
228,kulhudhuffushi,56,MV,1526180500,100,6.62,73.07,82.51,10.4
229,ambilobe,88,MG,1526180500,74,-13.19,49.05,76.39,11.41
230,tasiilaq,92,GL,1526179800,74,65.61,-37.64,33.8,32.21
231,yulara,0,AU,1526176800,31,-25.24,130.99,60.8,14.99
232,suntar,0,RU,1526180500,38,62.16,117.65,41.15,4.25
233,nouadhibou,0,MR,1526176800,88,20.93,-17.03,62.6,11.41
234,rafaela,0,AR,1526180443,94,-31.25,-61.49,54.7,6.71
235,esso,24,RU,1526180501,88,55.93,158.7,39.85,2.13
236,vytegra,0,RU,1526180501,63,61.01,36.45,52.49,3.91
237,alice springs,0,AU,1526178600,27,-23.7,133.88,62.6,13.87
238,asekeyevo,0,RU,1526180501,69,53.57,52.8,46.69,8.72
239,roberval,75,CA,1526176800,42,48.51,-72.22,46.4,10.29
240,shelburne,1,CA,1526176800,35,44.08,-80.2,53.6,2.24
241,umm lajj,0,SA,1526180502,100,25.02,37.27,68.29,6.71
242,ust-omchug,64,RU,1526180502,57,61.13,149.63,44.62,7.49
243,xuddur,44,SO,1526180502,90,4.12,43.89,72.88,9.84
244,yelizovo,56,RU,1526178600,61,53.19,158.38,50.0,13.42
245,kaihua,80,CN,1526180503,96,29.14,118.41,71.39,3.36
246,rock sound,88,BS,1526180503,96,24.9,-76.2,79.99,14.54
247,san patricio,0,PY,1526180503,96,-26.98,-56.83,58.07,4.14
248,vila velha,20,BR,1526180400,94,-3.71,-38.6,78.8,3.36
249,dingle,20,PH,1526180239,95,11.0,122.67,83.95,6.93
250,davila,20,PH,1526176800,66,18.47,120.58,89.6,6.93
251,lompoc,1,US,1526178900,62,34.64,-120.46,64.4,8.05
252,krasnovishersk,36,RU,1526180503,80,60.4,57.08,37.06,4.36
253,viedma,76,AR,1526180159,88,-40.81,-62.99,44.62,3.13
254,isangel,44,VU,1526180205,98,-19.55,169.27,79.4,8.61
255,port lincoln,88,AU,1526180504,91,-34.72,135.86,61.54,6.6
256,puerto maldonado,0,PE,1526180504,76,-12.59,-69.19,70.81,2.35
257,lebu,0,ET,1526180192,73,8.96,38.73,45.16,4.14
258,hidrolandia,24,BR,1526180504,97,-4.41,-40.44,73.33,3.02
259,juegang,0,CN,1526180504,92,32.31,121.18,73.24,3.58
260,ochamchira,92,GE,1526180504,100,42.71,41.47,55.37,4.36
261,sao joao da barra,12,BR,1526180116,96,-21.64,-41.05,77.42,10.18
262,la paz,40,MX,1526175720,44,24.15,-110.32,75.2,13.87
263,evans,90,US,1526179080,93,40.38,-104.69,55.4,9.17
264,kaeo,76,NZ,1526180505,86,-35.1,173.78,67.25,13.76
265,bang saphan,20,TH,1526176800,70,11.21,99.51,87.8,1.12
266,pisco,0,PE,1526176800,82,-13.71,-76.2,66.2,10.29
267,faranah,88,GN,1526180505,85,10.04,-10.74,73.78,3.24
268,narasannapeta,8,IN,1526180506,72,18.42,84.04,89.89,6.38
269,tradate,75,IT,1526178000,82,45.71,8.91,62.6,3.36
270,ponta delgada,75,PT,1526176800,72,37.73,-25.67,59.0,3.36
271,broken hill,64,AU,1526180299,70,-31.97,141.45,57.31,12.53
272,la asuncion,76,EC,1526180506,93,-1.64,-78.74,47.59,1.34
273,auki,12,NG,1526180265,67,12.18,6.51,79.45,12.75
274,sri aman,75,MY,1526176800,83,1.24,111.46,82.4,3.36
275,kloulklubed,75,PW,1526176500,74,7.04,134.26,87.8,9.17
276,oyama,90,JP,1526176800,56,36.31,139.8,71.6,12.75
277,tura,0,IN,1526180227,92,25.52,90.21,78.91,3.13
278,prokhorovka,0,RU,1526178600,87,51.03,36.73,46.4,11.18
279,karasjok,100,NO,1526179800,81,69.47,25.52,42.8,3.36
280,kyren,20,RU,1526180507,86,51.68,102.13,46.64,1.9
281,pangnirtung,92,CA,1526180276,82,66.15,-65.72,17.08,6.6
282,vao,0,EE,1526180232,69,59.1,26.19,47.05,2.57
283,cururupu,92,BR,1526180507,100,-1.82,-44.87,75.22,6.6
284,inuvik,90,CA,1526176800,86,68.36,-133.71,39.2,5.82
285,tromso,40,NO,1526179800,87,69.65,18.96,42.8,2.24
286,shakawe,92,BW,1526180508,44,-18.36,21.84,67.34,2.91
287,ola,24,RU,1526178600,36,59.58,151.3,44.6,15.66
288,griffin,1,US,1526178900,68,33.25,-84.26,82.4,3.36
289,eureka,90,US,1526178900,100,40.8,-124.16,57.2,9.17
290,longyearbyen,75,NO,1526176200,86,78.22,15.63,33.8,2.24
291,kindu,8,CD,1526180289,99,-2.95,25.92,70.9,2.68
292,kandrian,64,PG,1526180508,69,-6.21,149.55,86.92,4.14
293,lagoa,0,PT,1526176800,50,37.14,-8.45,53.6,14.99
294,lujan,80,AR,1526180508,94,-46.57,-67.67,35.26,7.16
295,santa cruz del sur,48,CU,1526180509,99,20.71,-78.0,71.39,3.13
296,salinopolis,36,BR,1526180292,100,-0.61,-47.36,79.67,9.95
297,somogyvar,44,HU,1526180509,78,46.58,17.66,61.27,4.14
298,high prairie,0,CA,1526180509,37,55.43,-116.48,64.51,8.72
299,mosquera,75,CO,1526176800,82,4.71,-74.23,55.4,4.7
300,chengde,0,CN,1526180509,69,40.97,117.93,70.4,3.69
301,road town,1,VG,1526176380,83,18.42,-64.62,78.8,12.75
302,soyo,92,AO,1526180510,99,-6.13,12.37,73.33,2.91
303,teguise,0,ES,1526180035,94,29.06,-13.56,63.34,22.48
304,bolshaya martynovka,92,RU,1526180510,51,47.27,41.67,56.32,9.17
305,sesheke,12,NA,1526180510,73,-17.47,24.29,57.85,2.8
306,arteche,92,PH,1526180510,100,12.27,125.37,79.22,4.7
307,juba,0,EE,1526179800,70,57.82,26.93,48.2,1.12
308,mtwara,36,TZ,1526180510,100,-10.28,40.18,79.45,7.27
309,batouri,92,CM,1526180511,96,4.44,14.36,65.54,2.91
310,tual,76,ID,1526180124,100,-5.67,132.75,82.15,11.74
311,katsuura,90,JP,1526179380,93,33.93,134.5,69.8,5.82
312,sinnamary,100,GF,1526180286,100,5.38,-52.96,77.2,7.61
313,san lazaro,75,BZ,1526176320,78,18.04,-88.66,82.4,11.41
314,sosnovo-ozerskoye,92,RU,1526180511,100,52.53,111.54,47.09,7.94
315,mbalmayo,75,CM,1526176800,100,3.52,11.5,66.2,2.91
316,midland,32,US,1526177700,33,32.0,-102.08,89.6,24.16
317,westport,92,IE,1526180209,100,53.8,-9.52,47.09,11.18
318,los llanos de aridane,0,ES,1526176800,82,28.66,-17.92,64.4,19.46
319,ilulissat,88,GL,1526179800,44,69.22,-51.1,39.2,17.22
320,valeni,32,RO,1526180512,63,46.59,28.06,52.4,5.26
321,adrar,0,DZ,1526176800,13,27.87,-0.29,77.0,10.29
322,labuhan,68,ID,1526180512,83,-2.54,115.51,82.33,3.36
323,buala,88,SB,1526180139,100,-8.15,159.59,79.49,2.68
324,bagotville,0,AU,1526180512,100,-28.98,153.42,67.3,9.95
325,mana,0,RS,1526176800,82,43.52,20.24,57.2,4.7
326,siteki,0,SZ,1526180513,88,-26.45,31.95,57.22,4.14
327,nisia floresta,20,BR,1526176800,88,-6.09,-35.21,77.0,3.36
328,urengoy,48,RU,1526180513,99,65.96,78.37,14.83,9.4
329,guilin,90,CN,1526176800,94,25.28,110.29,75.2,3.69
330,nairobi,75,KE,1526176800,100,-1.28,36.82,62.6,8.05
331,paracuru,20,BR,1526180400,94,-3.41,-39.03,78.8,3.36
332,coquimbo,90,CL,1526176800,87,-29.95,-71.34,55.4,6.93
333,erbaa,0,TR,1526176200,93,40.67,36.56,44.6,1.68
334,padang,12,ID,1526180514,100,-0.92,100.36,82.24,1.34
335,santa rosa,0,AR,1526180516,90,-36.62,-64.29,52.72,9.17
336,henties bay,8,NA,1526180516,100,-22.12,14.28,56.54,5.82
337,son la,80,VN,1526180516,98,21.32,103.9,69.05,1.68
338,sehithwa,0,BW,1526180516,65,-20.47,22.7,57.4,5.26
339,wagar,44,US,1526180517,45,31.44,-87.99,81.25,5.7
340,priladozhskiy,0,RU,1526178600,81,59.85,31.48,46.4,2.24
341,muisne,100,EC,1526180517,96,0.61,-80.02,74.59,2.68
342,calatayud,0,ES,1526176800,40,41.35,-1.64,51.8,6.93
343,agadez,88,NE,1526180517,17,16.97,7.99,86.6,10.96
344,manggar,88,ID,1526180517,79,-2.88,108.27,87.32,11.63
345,aswan,0,EG,1526180517,44,24.09,32.9,69.59,4.7
346,sisimiut,0,GL,1526180518,99,66.94,-53.67,20.32,0.89
347,rio gallegos,75,AR,1526176800,93,-51.62,-69.22,37.4,5.82
348,velventos,48,GR,1526180518,92,40.25,22.06,49.7,1.68
349,hobyo,48,SO,1526180234,91,5.35,48.53,81.07,9.06
350,usinsk,88,RU,1526180295,93,66.0,57.56,35.39,10.29
351,chalus,90,IR,1526176800,93,36.66,51.42,62.6,9.17
352,fort saint james,0,CA,1526180518,47,54.43,-124.25,62.26,4.36
353,monroe,90,US,1526179440,93,41.91,-83.4,50.0,6.71
354,stromness,75,CA,1526176800,45,42.87,-79.55,55.4,2.24
355,dalby,0,AU,1526176800,37,-27.18,151.26,66.2,13.87
356,corowa,0,AU,1526176800,39,-36.0,146.39,66.2,10.29
357,ostrovnoy,92,RU,1526180304,90,68.05,39.51,36.74,10.29
358,pilar,0,AR,1526176800,93,-34.46,-58.91,60.8,2.68
359,marsh harbour,92,BS,1526180220,98,26.54,-77.06,77.92,11.74
360,gao,88,ML,1526180519,23,16.28,-0.04,88.0,6.93
361,mitu,32,IR,1526180280,86,36.2,46.09,38.0,2.13
362,naryan-mar,76,RU,1526180520,95,67.67,53.09,33.77,20.13
363,trinidad,8,UY,1526180520,87,-33.52,-56.9,46.64,2.91
364,berlevag,8,NO,1526180037,100,70.86,29.09,34.9,2.68
365,lata,48,IN,1526180244,88,30.78,78.62,57.76,2.01
366,gua musang,44,MY,1526180520,83,4.88,101.97,79.94,1.79
367,coro,24,VE,1526180520,84,11.41,-69.67,78.46,11.63
368,nakkila,0,FI,1526179800,87,61.37,22.0,42.8,1.12
369,salalah,20,OM,1526176200,83,17.01,54.1,82.4,6.26
370,dunedin,80,NZ,1526180457,87,-45.87,170.5,47.95,3.8
371,orda,0,RU,1526180256,51,57.2,56.91,40.34,4.7
372,karratha,0,AU,1526180262,13,-20.74,116.85,80.71,19.01
373,hamilton,75,CA,1526176800,45,43.26,-79.87,53.6,2.24
374,mlonggo,32,ID,1526180521,87,-6.53,110.7,85.12,5.26
375,mulege,0,MX,1526180521,64,26.88,-111.98,71.75,1.68
376,luderitz,80,NA,1526180229,96,-26.65,15.16,57.58,6.71
377,kijang,75,KR,1526176800,83,35.24,129.21,69.8,6.93
378,karakol,88,KG,1526180521,100,42.49,78.39,46.24,2.01
379,slupsk,0,PL,1526180522,70,54.46,17.03,56.14,8.16
380,padilla,75,CO,1526176800,100,3.23,-76.31,68.0,3.36
381,tarko-sale,32,RU,1526180522,100,64.92,77.78,19.51,8.72
382,syracuse,40,US,1526180160,100,43.05,-76.15,48.2,1.57
383,jonkoping,90,SE,1526179800,100,57.78,14.16,53.6,2.24
384,hewitt,5,US,1526177700,61,31.46,-97.2,82.4,4.7
385,bastrop,1,US,1526178900,100,32.78,-91.91,75.2,8.61
386,mathathane,0,BW,1526180523,63,-22.27,28.75,52.36,3.58
